year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2014,WA,Washington,7063166,20185,178,1999,2780,5641,11586,261257,55381,175317,30559
2014,WI,Wisconsin,5759432,16763,159,1216,1677,5101,9826,120535,21375,89255,9905
2014,WV,West Virginia,1848751,5850,84,417,594,655,4517,38282,9368,26954,1960
2014,WY,Wyoming,584304,1142,16,127,174,53,899,11477,1689,9185,603
2015,,,320896618,1199310,15883,91261,126134,328109,764057,8024115,1587564,5723488,713063
2015,AK,Alaska,737709,5391,59,648,900,761,3671,20806,3511,15249,2046
2015,AL,Alabama,4853875,22957,348,1449,2037,4612,15960,144785,35265,99182,10338
2015,AR,Arkansas,2977853,15769,189,1425,2008,2117,11455,97391,22851,68720,5820
2015,AZ,Arizona,6817565,27968,306,2268,3109,6360,18193,207184,38010,152388,16786
2015,CA,California,38993940,166883,1861,9341,12811,52862,99349,1024914,197404,656517,170993
2015,CO,Colorado,5448819,17348,173,2422,3328,3315,10532,144044,23490,104532,16022
2015,CT,Connecticut,3584730,7938,116,585,798,2925,4099,65610,10286,48898,6426
2015,DC,District of Columbia,670377,8538,162,365,494,3746,4136,31444,2971,25208,3265
2015,DE,Delaware,944076,4760,62,257,361,1240,3097,25545,4797,19555,1193
2015,FL,Florida,20244914,93625,1041,5396,7552,21137,63895,570270,109268,420341,40661
2015,GA,Georgia,10199398,38891,622,2343,3257,12545,22467,316013,68149,220715,27149
2015,HI,Hawaii,1431603,4201,19,382,538,1085,1878,45389,6810,33140,5439
2015,IA,Iowa,3121997,8619,73,877,1205,1050,6291,64688,14977,45328,4383
2015,ID,Idaho,1652828,3593,32,508,703,191,2667,28912,6124,20916,1872
2015,IL,Illinois,12839047,49755,754,3602,4926,15056,29019,256962,46846,192424,17692
2015,IN,Indiana,6612768,25373,370,1757,2386,7081,15536,171878,34404,123940,13534
2015,KS,Kansas,2906721,11483,126,1226,1684,1823,7850,80059,15619,57435,7005
2015,KY,Kentucky,4424611,9887,219,1165,1644,3314,4710,97545,22526,67143,7876
2015,LA,Louisiana,4668960,25202,492,1246,1733,5561,17416,157708,35457,112520,9731
2015,MA,Massachusetts,6784240,26453,131,1538,2082,5266,18974,114547,21826,84676,8045
2015,MD,Maryland,5994983,28185,538,1209,1717,10111,15819,142547,26432,102701,13414
